pitcher_id,pitcher_name,year,pitches,games,tj_stuff_plus,pitches_per_game,position,pitch_type,mean,std,median,min,max,percentile_1,percentile_99,pitch_grade
702352,Spencer Bivens,2024,63,13,98.51586623164299,,RP,FC,98.83449547008738,5.811964883678063,98.54483029899575,83.20928731685326,119.78700324933075,83.34007602984008,118.21186533190846,49.451770193348544
605156,Aaron Brooks,2024,7,4,94.20431477268872,,SP,KC,101.8993919341341,4.271694896723436,100.79211889194949,93.69754063161618,119.4933202093256,93.75149298057133,119.38166236091195,31.98589237413042
607455,Anthony Banda,2024,1,1,98.30672687960437,,RP,FC,98.83449547008738,5.811964883678063,98.54483029899575,83.20928731685326,119.78700324933075,83.34007602984008,118.21186533190846,49.09192742721974
679525,Alec Marsh,2024,287,24,99.71592957968403,,SP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,59.19748918922999
674944,Sean Guenther,2024,89,17,91.04346777931018,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,41.759927699624356
667297,Tommy Nance,2024,111,20,99.86774701648159,,RP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,59.50274575308567
596295,Austin Gomber,2024,2,2,87.84257831939362,,SP,SI,95.14161603816645,4.9734372581529955,95.11657827702109,82.5850956341191,112.99618112461533,82.8856383780296,112.72626192694757,35.323957376143724
681871,Eli Villalobos,2024,11,3,97.88912181313532,,RP,FS,98.25541635267653,6.898952096824192,98.46204303842217,72.25450024197754,114.88400714657823,73.39595959354874,114.78967217449389,49.46905771427253
613534,Austin Adams,2024,587,56,109.35228137647059,,RP,SL,103.49296290610897,5.265572779780409,103.19144262214559,88.84957017284297,121.88798777026031,89.76670287371176,121.36013955239422,61.127599437731
680767,Victor Vodnik,2024,820,63,101.12381093894398,,RP,FF,97.29024735737988,6.078459125845886,97.09670890504734,81.2230917971995,118.10419744965911,81.32311771953398,117.7938724746093,56.30680161237509
