"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Armstrong, Shawn","542888","2020","57",24.6,5.3,".233",".286",35.9,7.7,33.3,"78.652858947","92.905422895",26.2,51.5
"Bass, Anthony","542914","2020","100",21,9,".242",".224",15.7,2.9,38.6,"79.142501176","93.898158676",28,43.6
"Bleier, Richard","542947","2020","67",16.4,6,".257",".298",27.5,2,35.3,"73.1389604","93.5193592",16.8,49.1
"Brach, Brad","542960","2020","59",23.7,25.4,".353",".334",20.7,3.4,24.1,"73.145315333","91.565595862",32.5,45.6
"Chatwood, Tyler","543022","2020","86",29.1,10.5,".357",".347",44.2,9.6,42.3,"80.277245385","94.306076154",29.3,44.1
"Cole, Gerrit","543037","2020","288",32.6,5.9,".279",".274",32,9.1,44.6,"79.873113372","94.802339591",34.2,49.6
"Coulombe, Danny","543056","2020","13",23.1,23.1,".297",".365",42.9,0,28.6,"82.609895","92.386291429",15,40
"DeSclafani, Anthony","543101","2020","158",15.8,10.1,".384",".379",36,11.4,46.5,"78.933170877","94.490017965",23,44
"Drake, Oliver","543118","2020","45",15.6,13.3,".292",".270",25,6.3,34.4,"75.444358125","93.048276774",28.2,49.7
"Eovaldi, Nathan","543135","2020","199",26.1,3.5,".336",".314",31.6,8.8,39.7,"80.262470152","94.391919924",28.1,53.3
"Gaviglio, Sam","543208","2020","17",5.9,29.4,".401",".434",45.5,9.1,45.5,"90.384081667","96.606296364",5,29.9
"Gilmartin, Sean","543219","2020","24",20.8,16.7,".465",".384",20,13.3,33.3,"80.55730125","94.297478",31.4,35.4
"Gray, Sonny","543243","2020","235",30.6,11.1,".275",".304",37,3.7,32.6,"75.730744328","92.969396343",29.5,40
"Hand, Brad","543272","2020","86",33.7,4.7,".216",".247",32.7,8.2,32.7,"77.7624792","92.74603449",24.8,43.3
"Hendricks, Kyle","543294","2020","315",20.3,2.5,".269",".274",34.3,4.5,32,"74.950220833","92.680787573",24.9,49.8
"Hudson, Daniel","543339","2020","92",30.4,12,".338",".318",36,14,36,"82.3136092","94.169023878",31.1,54.5
"Lyles, Jordan","543475","2020","266",13.5,8.6,".356",".352",28.8,7.8,42,"79.626142277","94.068312723",16.8,43.1
"Magill, Matt","543483","2020","45",24.4,13.3,".343",".336",25,10.7,39.3,"81.487124286","94.704240714",26.8,40.1
"May, Trevor","543507","2020","96",39.6,7.3,".292",".286",43.1,11.8,39.2,"81.839977692","94.619235882",42.8,47.2
"Milone, Tommy","543548","2020","181",22.1,3.3,".395",".334",34.6,6,36.1,"79.126346","93.697362308",27.7,48.6
"Montgomery, Mike","543557","2020","23",17.4,4.3,".338",".425",38.9,11.1,38.9,"79.191232222","94.565146667",19,43.3
"Odorizzi, Jake","543606","2020","60",20,5,".380",".404",41.9,16.3,39.5,"79.940718095","94.46775881",19.9,48.1
"Roark, Tanner","543699","2020","220",18.6,10.5,".417",".383",36.4,13,42.9,"78.045116316","94.365690395",26.6,44.3
"Rusin, Chris","543734","2020","17",17.6,17.6,".520",".477",45.5,18.2,45.5,"87.383641667","95.974007273",12,42.4
"Shaw, Bryan","543766","2020","38",10.5,15.8,".524",".416",37,7.4,40.7,"80.323652143","94.617470741",20,39.2
